time,rate
2014/1/1,6.6 
2014/2/1,6.7 
2014/3/1,6.7 
2014/4/1,6.2 
2014/5/1,6.3 
2014/6/1,6.1 
2014/7/1,6.2 
2014/8/1,6.1 
2014/9/1,5.9 
2014/10/1,5.7 
2014/11/1,5.8 
2014/12/1,5.6 
2015/1/1,5.7 
2015/2/1,5.5 
2015/3/1,5.4 
2015/4/1,5.4 
2015/5/1,5.6 
2015/6/1,5.3 
2015/7/1,5.2 
2015/8/1,5.1 
2015/9/1,5.0 
2015/10/1,5.0 
2015/11/1,5.1 
2015/12/1,5.0 
2016/1/1,4.9 
2016/2/1,4.9 
2016/3/1,5.0 
2016/4/1,5.0 
2016/5/1,4.8 
2016/6/1,4.9 
2016/7/1,4.8 
2016/8/1,4.9 
2016/9/1,5.0 
2016/10/1,4.9 
2016/11/1,4.7 
2016/12/1,4.7 
2017/1/1,4.7 
2017/2/1,4.7 
2017/3/1,4.4 
2017/4/1,4.4 
2017/5/1,4.4 
2017/6/1,4.3 
2017/7/1,4.3 
2017/8/1,4.4 
2017/9/1,4.2 
2017/10/1,4.1 
2017/11/1,4.2 
2017/12/1,4.1 
2018/1/1,4.1 
2018/2/1,4.1 
2018/3/1,4.0 
2018/4/1,3.9 
2018/5/1,3.8 
2018/6/1,4.0 
2018/7/1,3.9 
2018/8/1,3.8 
2018/9/1,3.7 
2018/10/1,3.8 
2018/11/1,3.7 
2018/12/1,3.9 
2019/1/1,4.0 
2019/2/1,3.8 
2019/3/1,3.8 
2019/4/1,3.6 
2019/5/1,3.6 
2019/6/1,3.7 
2019/7/1,3.7 
2019/8/1,3.7 
2019/9/1,3.5 
2019/10/1,3.6 
2019/11/1,3.5 
2019/12/1,3.5 
2020/1/1,3.5 
2020/2/1,3.5 
2020/3/1,4.4 
2020/4/1,14.8 
2020/5/1,13.3 
2020/6/1,11.1 
2020/7/1,10.2 
2020/8/1,8.4 
2020/9/1,7.8 
2020/10/1,6.9 
2020/11/1,6.7 
2020/12/1,6.7 
2021/1/1,6.4 
2021/2/1,6.2 
2021/3/1,6.0 
2021/4/1,6.0 
2021/5/1,5.8 
2021/6/1,5.9 
2021/7/1,5.4 
2021/8/1,5.2 
2021/9/1,4.7 
2021/10/1,4.6 
2021/11/1,4.2 
2021/12/1,3.9 
2022/1/1,4.0 
2022/2/1,3.8 
2022/3/1,3.6 
2022/4/1,3.6 
2022/5/1,3.6 
2022/6/1,3.6 
2022/7/1,3.5 
2022/8/1,3.7 
2022/9/1,3.5 
2022/10/1,3.7 
2022/11/1,3.6 
2022/12/1,3.5 
2023/1/1,3.4 
2023/2/1,3.6 
2023/3/1,3.5 
2023/4/1,3.4 
2023/5/1,3.7 
2023/6/1,3.6 
2023/7/1,3.5 
2023/8/1,3.8 
2023/9/1,3.8 
2023/10/1,3.9 
